movie_name,movie_score,movie_general,movie_cast,movie_music,movie_director,movie_story,movie_scene
tt0455944.csv,6.900539326,"('s: 0', 'c: 0')","('s: 25.7777', 'c: 96')","('s: 1.5811', 'c: 3')","('s: 1.9348', 'c: 8')","('s: -0.1915', 'c: 35')","('s: 4.7275', 'c: 36')"
tt2911666.csv,6.921860656,"('s: 0', 'c: 0')","('s: 15.6078', 'c: 52')","('s: 0.7982', 'c: 2')","('s: 0', 'c: 0')","('s: 0.1852', 'c: 39')","('s: 6.8555', 'c: 29')"
tt1700841.csv,6.961247619,"('s: 0', 'c: 0')","('s: 7.0207', 'c: 19')","('s: 1.8935', 'c: 8')","('s: 0', 'c: 0')","('s: 3.4862', 'c: 33')","('s: 8.1927', 'c: 45')"
tt0993846.csv,7.016828571,"('s: 0', 'c: 0')","('s: 9.6575', 'c: 24')","('s: 0', 'c: 0')","('s: 7.1523', 'c: 22')","('s: 4.6063', 'c: 51')","('s: -0.2394', 'c: 8')"
tt2820852.csv,7.067409756,"('s: 0', 'c: 0')","('s: 12.6625', 'c: 101')","('s: 0.3182', 'c: 1')","('s: 3.1623', 'c: 14')","('s: 14.319', 'c: 51')","('s: 11.9199', 'c: 38')"
tt1853728.csv,7.078928962,"('s: 0', 'c: 0')","('s: 19.5669', 'c: 47')","('s: 1.8044', 'c: 5')","('s: 9.2767', 'c: 50')","('s: 4.5532', 'c: 40')","('s: 2.8432', 'c: 41')"
tt1355683.csv,7.084642487,"('s: 0', 'c: 0')","('s: 21.9667', 'c: 81')","('s: -0.3471', 'c: 2')","('s: 4.5393', 'c: 10')","('s: 14.2676', 'c: 91')","('s: -0.1929', 'c: 9')"
tt2024469.csv,7.144181208,"('s: 0', 'c: 0')","('s: 24.6877', 'c: 76')","('s: 0', 'c: 0')","('s: 0', 'c: 0')","('s: 6.8281', 'c: 51')","('s: 0.4325', 'c: 22')"
tt1823672.csv,7.147131313,"('s: 0', 'c: 0')","('s: 3.6797', 'c: 18')","('s: 0.2877', 'c: 3')","('s: 3.905', 'c: 11')","('s: 10.26', 'c: 59')","('s: 3.1242', 'c: 8')"
tt2103281.csv,7.254348315,"('s: 0', 'c: 0')","('s: 3.4419', 'c: 16')","('s: 0', 'c: 0')","('s: 0.5859', 'c: 1')","('s: 10.1404', 'c: 55')","('s: 5.8955', 'c: 17')"
tt0831387.csv,7.256659091,"('s: 0', 'c: 0')","('s: 4.7248', 'c: 17')","('s: -0.127', 'c: 3')","('s: 1.1087', 'c: 3')","('s: 13.4414', 'c: 44')","('s: 0.7107', 'c: 21')"
tt0918940.csv,7.284507143,"('s: 0', 'c: 0')","('s: 7.5655', 'c: 30')","('s: 2.3032', 'c: 4')","('s: 3.7788', 'c: 8')","('s: 8.7542', 'c: 70')","('s: 9.5814', 'c: 28')"
tt0112573.csv,7.481457143,"('s: 0', 'c: 0')","('s: 2.9107', 'c: 5')","('s: 3.8347', 'c: 9')","('s: 12.2333', 'c: 51')","('s: 12.3579', 'c: 49')","('s: 3.4038', 'c: 26')"
tt2582846.csv,7.499037594,"('s: 0', 'c: 0')","('s: 9.2864', 'c: 22')","('s: -0.3804', 'c: 1')","('s: 0.4019', 'c: 1')","('s: 23.5321', 'c: 102')","('s: 0.3972', 'c: 7')"
tt0102926.csv,7.516237209,"('s: 0', 'c: 0')","('s: 41.7235', 'c: 119')","('s: 1.1672', 'c: 2')","('s: 6.4038', 'c: 27')","('s: 3.6807', 'c: 43')","('s: 1.1239', 'c: 24')"
tt1489889.csv,7.55653112,"('s: 0', 'c: 0')","('s: 52.3771', 'c: 144')","('s: 1.1673', 'c: 2')","('s: 1.2238', 'c: 3')","('s: -0.3165', 'c: 63')","('s: 7.1607', 'c: 29')"
tt1345836.csv,7.582674242,"('s: 0', 'c: 0')","('s: 8.6212', 'c: 32')","('s: 1.9235', 'c: 6')","('s: 9.9711', 'c: 22')","('s: 9.0722', 'c: 56')","('s: 4.5033', 'c: 16')"
tt0111161.csv,7.597496552,"('s: 0', 'c: 0')","('s: 12.7394', 'c: 64')","('s: 0', 'c: 0')","('s: 4.1895', 'c: 9')","('s: 19.7709', 'c: 63')","('s: 0.9639', 'c: 9')"
tt0114814.csv,7.621707071,"('s: 0', 'c: 0')","('s: 22.0', 'c: 54')","('s: 0', 'c: 0')","('s: 2.4901', 'c: 12')","('s: 27.7202', 'c: 116')","('s: -0.3005', 'c: 16')"
tt0499549.csv,7.62721374,"('s: 0', 'c: 0')","('s: 0.0242', 'c: 3')","('s: 3.4947', 'c: 7')","('s: 10.5106', 'c: 37')","('s: 17.5836', 'c: 71')","('s: 2.8034', 'c: 13')"
tt2872732.csv,7.668755556,"('s: 0', 'c: 0')","('s: 12.4786', 'c: 38')","('s: 0.5859', 'c: 1')","('s: 4.8328', 'c: 14')","('s: 10.6249', 'c: 57')","('s: 7.506', 'c: 25')"
tt1431045.csv,7.718744681,"('s: 0', 'c: 0')","('s: 14.1279', 'c: 33')","('s: 0.9158', 'c: 2')","('s: 0.4767', 'c: 1')","('s: 12.6302', 'c: 55')","('s: 10.1837', 'c: 50')"
tt2381941.csv,7.725341463,"('s: 0', 'c: 0')","('s: 29.8706', 'c: 80')","('s: -1.3576', 'c: 6')","('s: 0', 'c: 0')","('s: 13.925', 'c: 68')","('s: 2.2576', 'c: 10')"
tt2179136.csv,7.727959459,"('s: 0', 'c: 0')","('s: 19.3484', 'c: 81')","('s: 0.2538', 'c: 2')","('s: 9.6206', 'c: 24')","('s: 8.1174', 'c: 26')","('s: 3.0336', 'c: 15')"
tt2719848.csv,7.828478873,"('s: 0', 'c: 0')","('s: 5.8819', 'c: 18')","('s: 1.1814', 'c: 2')","('s: 1.624', 'c: 5')","('s: 23.4216', 'c: 100')","('s: 8.0555', 'c: 17')"
tt1951266.csv,7.837092437,"('s: 0', 'c: 0')","('s: 0.5859', 'c: 1')","('s: 0', 'c: 0')","('s: 6.1702', 'c: 18')","('s: 17.7512', 'c: 72')","('s: 9.2541', 'c: 28')"
tt1843866.csv,7.880428571,"('s: 0', 'c: 0')","('s: 16.6913', 'c: 41')","('s: 0.4404', 'c: 1')","('s: 0.9209', 'c: 2')","('s: 11.7444', 'c: 58')","('s: 10.529', 'c: 38')"
tt0120689.csv,7.925139241,"('s: 0', 'c: 0')","('s: 29.4358', 'c: 70')","('s: 0.9442', 'c: 2')","('s: 5.1225', 'c: 22')","('s: 8.9587', 'c: 56')","('s: 1.756', 'c: 8')"
tt3170832.csv,7.929166667,"('s: 0', 'c: 0')","('s: 18.1734', 'c: 48')","('s: 0.3969', 'c: 3')","('s: 1.7408', 'c: 3')","('s: 14.5463', 'c: 56')","('s: 0.2926', 'c: 10')"
tt2674426.csv,7.933793651,"('s: 0', 'c: 0')","('s: 27.9155', 'c: 83')","('s: 2.1767', 'c: 7')","('s: 1.7602', 'c: 7')","('s: 21.5', 'c: 88')","('s: 2.0963', 'c: 4')"
tt0071562.csv,7.980458065,"('s: 0', 'c: 0')","('s: 25.2904', 'c: 68')","('s: 0.6249', 'c: 1')","('s: 6.5392', 'c: 17')","('s: 11.6435', 'c: 63')","('s: 2.0991', 'c: 6')"
tt3183660.csv,8.003982759,"('s: 0', 'c: 0')","('s: 16.1228', 'c: 37')","('s: 0.7491', 'c: 8')","('s: 2.0766', 'c: 6')","('s: 13.3024', 'c: 58')","('s: 2.5953', 'c: 7')"
tt3076658.csv,8.03758011,"('s: 0', 'c: 0')","('s: 28.0496', 'c: 80')","('s: -0.8206', 'c: 4')","('s: 3.9254', 'c: 8')","('s: 20.2168', 'c: 78')","('s: 3.609', 'c: 11')"
tt0080684.csv,8.052366337,"('s: 0', 'c: 0')","('s: 5.4984', 'c: 11')","('s: 5.8621', 'c: 12')","('s: 0.2374', 'c: 2')","('s: 14.3449', 'c: 56')","('s: 4.8861', 'c: 20')"
tt0108052.csv,8.104461538,"('s: 0', 'c: 0')","('s: 20.6729', 'c: 53')","('s: 2.0994', 'c: 6')","('s: 20.3391', 'c: 55')","('s: 8.7983', 'c: 36')","('s: -3.4801', 'c: 6')"
tt1234721.csv,8.111494505,"('s: 0', 'c: 0')","('s: 12.0025', 'c: 24')","('s: 0.9343', 'c: 2')","('s: 0.4404', 'c: 1')","('s: 7.278', 'c: 45')","('s: 7.6594', 'c: 19')"
tt3659388.csv,8.11263964,"('s: 0', 'c: 0')","('s: 12.426', 'c: 37')","('s: 1.5403', 'c: 6')","('s: 2.9189', 'c: 13')","('s: 14.0339', 'c: 47')","('s: 3.6312', 'c: 8')"
tt0172495.csv,8.153035176,"('s: 0', 'c: 0')","('s: 24.6666', 'c: 82')","('s: 7.7595', 'c: 13')","('s: 6.1757', 'c: 17')","('s: 18.6981', 'c: 61')","('s: 5.4455', 'c: 26')"
tt0372784.csv,8.18071519,"('s: 0', 'c: 0')","('s: 26.9502', 'c: 55')","('s: 1.2948', 'c: 4')","('s: 8.218', 'c: 42')","('s: 10.2923', 'c: 42')","('s: 3.5', 'c: 15')"
tt1872181.csv,8.215913793,"('s: 0', 'c: 0')","('s: 21.371', 'c: 65')","('s: 1.6111', 'c: 4')","('s: 1.6681', 'c: 6')","('s: 19.9632', 'c: 69')","('s: 11.3435', 'c: 30')"
tt1490017.csv,8.219131783,"('s: 0', 'c: 0')","('s: 3.3616', 'c: 7')","('s: 3.1705', 'c: 7')","('s: -0.3074', 'c: 2')","('s: 21.5948', 'c: 76')","('s: 13.7073', 'c: 37')"
tt1631867.csv,8.280012658,"('s: 0', 'c: 0')","('s: 25.8057', 'c: 103')","('s: -0.3182', 'c: 1')","('s: 4.8051', 'c: 9')","('s: 27.4748', 'c: 78')","('s: 19.9689', 'c: 46')"
tt0120338.csv,8.280171233,"('s: 0', 'c: 0')","('s: 19.8987', 'c: 63')","('s: 0.8217', 'c: 10')","('s: 7.1393', 'c: 23')","('s: 62.7847', 'c: 176')","('s: 5.1366', 'c: 20')"
tt1895587.csv,8.300215517,"('s: 0', 'c: 0')","('s: 18.0147', 'c: 37')","('s: -0.7758', 'c: 2')","('s: 2.1969', 'c: 4')","('s: 18.822', 'c: 64')","('s: 0.0247', 'c: 9')"
tt2084970.csv,8.312449704,"('s: 0', 'c: 0')","('s: 15.5797', 'c: 42')","('s: 2.8085', 'c: 5')","('s: 0.6808', 'c: 1')","('s: 30.7189', 'c: 109')","('s: 6.1925', 'c: 12')"
tt3040964.csv,8.335324324,"('s: 0', 'c: 0')","('s: 13.0741', 'c: 42')","('s: 3.2288', 'c: 8')","('s: 7.4482', 'c: 15')","('s: 17.2856', 'c: 56')","('s: 8.3261', 'c: 27')"
tt0325980.csv,8.349887755,"('s: 0', 'c: 0')","('s: 45.2813', 'c: 137')","('s: 0.6277', 'c: 3')","('s: 2.4003', 'c: 7')","('s: 12.8149', 'c: 35')","('s: 4.5336', 'c: 14')"
tt2543164.csv,8.369721311,"('s: 0', 'c: 0')","('s: 14.345', 'c: 34')","('s: -0.388', 'c: 7')","('s: 5.2867', 'c: 12')","('s: 17.0353', 'c: 56')","('s: 4.8316', 'c: 13')"
tt2278388.csv,8.385530488,"('s: 0', 'c: 0')","('s: 7.0257', 'c: 25')","('s: 1.6383', 'c: 5')","('s: 28.7797', 'c: 64')","('s: 15.4044', 'c: 51')","('s: 2.6746', 'c: 19')"
tt0482571.csv,8.394842697,"('s: 0', 'c: 0')","('s: 24.0937', 'c: 59')","('s: 1.363', 'c: 2')","('s: 13.5338', 'c: 32')","('s: 21.7968', 'c: 78')","('s: -0.3591', 'c: 7')"
tt2381249.csv,8.421226415,"('s: 0', 'c: 0')","('s: 25.6002', 'c: 73')","('s: 1.3009', 'c: 4')","('s: 0.9343', 'c: 2')","('s: 11.1186', 'c: 37')","('s: 15.4435', 'c: 43')"
tt1596363.csv,8.42249,"('s: 0', 'c: 0')","('s: 14.4626', 'c: 40')","('s: 0.5396', 'c: 3')","('s: 3.1826', 'c: 7')","('s: 14.4576', 'c: 43')","('s: 1.5825', 'c: 7')"
tt1964418.csv,8.42577451,"('s: 0', 'c: 0')","('s: 12.0376', 'c: 32')","('s: 0.3818', 'c: 1')","('s: 1.5219', 'c: 8')","('s: 16.8823', 'c: 49')","('s: 4.1193', 'c: 12')"
tt0848228.csv,8.457457944,"('s: 0', 'c: 0')","('s: 4.2677', 'c: 8')","('s: 0', 'c: 0')","('s: 7.3156', 'c: 14')","('s: 17.1933', 'c: 45')","('s: 8.2182', 'c: 40')"
tt2582802.csv,8.460872483,"('s: 0', 'c: 0')","('s: 25.7422', 'c: 74')","('s: 10.7468', 'c: 27')","('s: 0.8236', 'c: 3')","('s: 12.4021', 'c: 37')","('s: 1.8523', 'c: 8')"
tt0434409.csv,8.500793893,"('s: 0', 'c: 0')","('s: 18.9556', 'c: 43')","('s: 1.3396', 'c: 3')","('s: 0', 'c: 0')","('s: 19.4025', 'c: 66')","('s: 6.1627', 'c: 19')"
tt1877832.csv,8.544865031,"('s: 0', 'c: 0')","('s: 8.5221', 'c: 21')","('s: 0.9694', 'c: 2')","('s: 11.2057', 'c: 24')","('s: 19.4286', 'c: 71')","('s: 17.6555', 'c: 45')"
tt0103064.csv,8.68597449,"('s: 0', 'c: 0')","('s: 30.2049', 'c: 85')","('s: 2.5777', 'c: 7')","('s: 13.5073', 'c: 31')","('s: 16.9899', 'c: 41')","('s: 8.9653', 'c: 32')"
