movie_name,movie_score,imp_aspect,movie_general,movie_cast,movie_music,movie_director,movie_story,movie_scene
tt1951265.csv,6.930706967213115,MOVIE_STORY,"('s: 0', 'c: 0')","('s: 1.2625', 'c: 3')","('s: 2.778', 'c: 5')","('s: 7.87083333333', 'c: 18')","('s: 23.0895833333', 'c: 57')","('s: 12.1083333333', 'c: 39')"
tt1951266.csv,6.983986273080661,MOVIE_STORY,"('s: 0', 'c: 0')","('s: 1.5', 'c: 4')","('s: 0.375', 'c: 1')","('s: 10.8666666667', 'c: 27')","('s: 46.7172619048', 'c: 112')","('s: 18.3133333333', 'c: 52')"
tt1959490.csv,7.010220760233919,MOVIE_STORY,"('s: 0', 'c: 0')","('s: 36.8655', 'c: 77')","('s: 0.225', 'c: 1')","('s: 10.2375', 'c: 32')","('s: 57.5295833333', 'c: 151')","('s: 9.725', 'c: 24')"
tt1964418.csv,7.325833333333334,MOVIE_STORY,"('s: 0', 'c: 0')","('s: 18.7458333333', 'c: 38')","('s: 0.858333333333', 'c: 3')","('s: 5.1375', 'c: 13')","('s: 33.5916666667', 'c: 70')","('s: 8.65066666667', 'c: 20')"
tt2004420.csv,6.980555555555555,MOVIE_CAST,"('s: 0', 'c: 0')","('s: 24.2125', 'c: 70')","('s: 1.275', 'c: 4')","('s: 0.2', 'c: 1')","('s: 14.025', 'c: 31')","('s: 13.7625', 'c: 29')"
tt2024469.csv,6.938856792717086,MOVIE_STORY,"('s: 0', 'c: 0')","('s: 41.89375', 'c: 97')","('s: 0', 'c: 0')","('s: 0', 'c: 0')","('s: 41.0208333333', 'c: 103')","('s: 9.375', 'c: 38')"
tt2084970.csv,7.137974489795918,MOVIE_STORY,"('s: 0', 'c: 0')","('s: 22.6625', 'c: 55')","('s: 2.18125', 'c: 5')","('s: 1.125', 'c: 2')","('s: 71.5211666667', 'c: 170')","('s: 7.27083333333', 'c: 13')"
tt2096673.csv,7.185019841269842,MOVIE_STORY,"('s: 0', 'c: 0')","('s: 0.25', 'c: 1')","('s: 1.4375', 'c: 3')","('s: 0.333333333333', 'c: 1')","('s: 28.7729166667', 'c: 65')","('s: 15.0916666667', 'c: 35')"
tt2103281.csv,6.981847133757961,MOVIE_STORY,"('s: 0', 'c: 0')","('s: 12.3841666667', 'c: 35')","('s: 0.25', 'c: 2')","('s: 1.5', 'c: 4')","('s: 38.1916666667', 'c: 90')","('s: 9.90416666667', 'c: 26')"
tt2126355.csv,6.869754196642686,MOVIE_STORY,"('s: 0', 'c: 0')","('s: 14.9', 'c: 39')","('s: 2.375', 'c: 6')","('s: 0.666666666667', 'c: 2')","('s: 19.2541666667', 'c: 47')","('s: 14.7833333333', 'c: 45')"
